id,followers
37i9dQZEVXbNG2KDcFcKOF,220365
37i9dQZEVXbK4fwx2r07XW,11418
37i9dQZEVXbM1EaZ0igDlz,1434
37i9dQZEVXbKPTKrnFPD0G,10356
37i9dQZEVXbND4ZYa46PaA,2293
37i9dQZEVXbKzoK95AbRy9,49321
37i9dQZEVXbMwmF30ppw50,22540
37i9dQZEVXbMYsavqzfk6k,924
37i9dQZEVXbKZyn1mKjmIl,3819
37i9dQZEVXbJHSzlHx2ZJU,649
37i9dQZEVXbK8BKKMArIyl,25451
37i9dQZEVXbMdvweCgpBAe,2388
37i9dQZEVXbMw2iUtFR5Eq,1530
37i9dQZEVXbMPoK06pe7d6,1380
37i9dQZEVXbMy2EcFg5F9m,1672
37i9dQZEVXbJ5J1TrbkAF9,1724
37i9dQZEVXbMWDif5SCBJq,8207
37i9dQZEVXbIZK8aUquyx8,6822
37i9dQZEVXbJIvhIOxXxdp,2312
37i9dQZEVXbJwoKy8qKpHG,14312
37i9dQZEVXbJUPkgaWZcWG,10688
37i9dQZEVXbMda2apknTqH,5615
37i9dQZEVXbL1Fl8vdBUba,4083
37i9dQZEVXbKcS4rq3mEhp,1675
37i9dQZEVXbNM8vS9cIqAG,1436
37i9dQZEVXbKUoIkUXteF6,13483
37i9dQZEVXbK4BFAukDzj3,7021
37i9dQZEVXbIWlLQoMVEFp,3833
37i9dQZEVXbLWYFZ5CkSvr,3654
37i9dQZEVXbIZQf3WEYSut,519
37i9dQZEVXbNSiWnkYnziz,746
37i9dQZEVXbMGcjiWgg253,1653
37i9dQZEVXbMZ5PAcNTDXd,4014
37i9dQZEVXbJZGli0rRP3r,5741
37i9dQZEVXbNALwC1jxb5m,17703
37i9dQZEVXbMeCoUmQDLUW,798
37i9dQZEVXbO839WGRmpu1,1338
37i9dQZEVXbN66FupT0MuX,978
37i9dQZEVXbMwW10JmAnzE,349
37i9dQZEVXbLp5XoPON0wI,47307
37i9dQZEVXbJ7qiJCES5cj,2875
37i9dQZEVXbMVY2FDHm6NN,4777
37i9dQZEVXbJARRcHjHcAr,13052
37i9dQZEVXbNcoJZ65xktI,2587
37i9dQZEVXbJVKdmjH0pON,11550
37i9dQZEVXbJQ9kF73GOT2,1113
37i9dQZEVXbLKI6MPixefZ,1057
37i9dQZEVXbLJ0paT1JkgZ,3736
37i9dQZEVXbKx6qX9uN66j,1623
37i9dQZEVXbKVvfnL1Us06,7172
37i9dQZEVXbJPVQvqZqpcM,1235
37i9dQZEVXbJV3H3OfCN1z,1744
37i9dQZEVXbKqiTGXuCOsB,21719
